"2019 Novel Coronavirus (COVID-19) in Washington Updated on March 15, 2020 at 3:00 p.m.","2019 Novel Coronavirus (COVID-19) in Washington Updated on March 15, 2020 at 3:00 p.m.","2019 Novel Coronavirus (COVID-19) in Washington Updated on March 15, 2020 at 3:00 p.m."
County,Positive/Confirmed Cases,Deaths
Clark,3,0
Columbia,1,0
Grant,2,1
Grays Harbor,1,0
Island,6,0
Jefferson,3,0
King,420,37
Kitsap,3,0
Kittitas,3,0
Lincoln,1,0
Pierce,29,0
Skagit,4,0
Snohomish,176,4
Spokane,3,0
Thurston,3,0
Whatcom,3,0
Yakima,4,0
Unassigned,104,0
Total,769,42
