County,Positive/Confirmed Cases,Deaths
Adams,5,0
Benton,56,5
Chelan,13,1
Clallam,5,0
Clark,82,6
Columbia,1,0
Cowlitz,10,0
Douglas,5,0
Ferry,1,0
Franklin,16,0
Grant,44,1
Grays Harbor,1,0
Island,92,1
Jefferson,13,0
King,2077,136
Kitsap,49,0
Kittitas,8,0
Klickitat,7,0
Lewis,7,0
Lincoln,1,0
Mason,2,0
Okanogan,3,0
Pierce,282,5
San Juan,4,0
Skagit,97,3
Skamania,1,0
Snohomish,912,23
Spokane,108,2
Stevens,3,0
Thurston,33,0
Walla Walla,4,0
Whatcom,102,4
Whitman,6,0
Yakima,100,2
Unassigned,160,
Total,4310,189
