County,Cases,Deaths
Adams,10,
Asotin,0,
Benton,82,
Chelan,15,
Clallam,7,
Clark,80,
Columbia,1,
Cowlitz,14,
Douglas,5,
Ferry,1,
Franklin,27,
Garfield,0,
Grant,51,
Grays Harbor,2,
Island,105,
Jefferson,14,
King,2235,
Kitsap,65,
Kittitas,7,
Klickitat,8,
Lewis,10,
Lincoln,1,
Mason,4,
Okanogan,3,
Pacific,0,
Pend Oreille,0,
Pierce,307,
San Juan,4,
Skagit,111,
Skamania,1,
Snohomish,1104,
Spokane,126,
Stevens,3,
Thurston,37,
Wahkiakum,0,
Walla Walla,5,
Whatcom,120,
Whitman,7,
Yakima,101,
Unassigned,389,
Total,5062,
